Sr No.,Utterance,Speaker,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
2660,What?!,Chandler,negative,264,2,6,17,"00:09:35,491","00:09:36,992"
2670,I made it in the sixth grade.,Ross,neutral,264,12,6,17,"0:10:02,018","0:10:03,374"
2695,"Well, I brought the next best thing.",Rachel,neutral,270,3,5,16,"00:15:32,765","00:15:34,223"
2697,"Ohh, Joey has the nicest friends!",Katie,positive,271,1,5,15,"00:15:06,322","00:15:08,656"
2699,You're so sweet!,Katie,positive,271,3,5,15,"0:15:13,871","0:15:14,343"
2703,Well? Aren't you gonna do something?,Katie,neutral,271,7,5,15,"00:15:32,723","00:15:35,224"
2713,I,Phoebe,neutral,272,6,6,1,"00:14:50,139","00:14:51,890"
2719,Should I get her a  Tiffany cut or a Princess cut or a—ah-ah!,Chandler,negative,273,3,6,23,"00:00:07,257","00:00:10,718"
2744,What am I gonna do?!,Joey,negative,274,8,4,22,"0:10:27,210","0:10:28,113"
2758,"Oh my God, it's so huge, but you just have to promise me that you cannot tell anyone.",Rachel,positive,275,9,5,11,"00:15:21,420","00:15:24,631"
2765,I'm not listening to you!,Joey,negative,275,16,5,11,"00:15:48,822","00:15:50,907"
2780,"Y’know, I was worried, that, you know, they would maybe an unbearable living situation.",Phoebe,neutral,278,3,7,10,"00:07:56,017","00:08:00,687"
2781,"All right, okay, well, apparently not!",Phoebe,negative,278,4,7,10,"0:08:00,855","0:08:03,207"
2792,My God! Is this a gym card?,Monica,positive,279,6,4,4,"00:03:15,361","00:03:17,863"
2807,Anybody gonna eat that?,Joey,neutral,280,2,5,12,"00:02:25,478","00:02:27,271"
2808,Pheebs!,Joey,positive,281,0,7,22,"0:07:56,309","0:07:57,231"
2810,"Listen, you know how uh, when you’re wearing pants and you lean forward I check out your underwear?",Joey,neutral,281,2,7,22,"00:07:58,144","00:08:03,565"
2831,I don’t know.  A cowboy theme?,Phoebe,neutral,284,2,7,19,"0:05:18,826","0:05:21,627"
2842,"I’m sorry honey, what were you saying?",Rachel,neutral,285,10,9,1,"0:08:45,608","0:08:47,193"
2846,She looks scared.,Rachel,neutral,285,14,9,1,"0:08:59,705","0:09:00,957"
2875,Did you tell your sister to ask me out?,Ross,neutral,288,9,6,13,"00:16:00,250","00:16:02,502"
2892,Chandler?,Phoebe,neutral,289,5,7,13,"00:09:56,554","00:09:58,138"
2909,What am I going to do?,Joey,negative,293,2,6,21,"00:12:56,025","00:12:58,026"
2915,"Okay, but if I got to turn on the charm tomorrow I’m not wasting anymore of it over here with you guys.",Joey,neutral,293,7,6,21,"00:13:13,542","00:13:18,087"
2927,"Come on Joey, don’t make me feel badly about this.",Phoebe,negative,295,4,7,11,"00:13:58,838","00:14:00,713"
2930,"Yeah, you made me feel really guilty about goin’ out with that girl!",Joey,negative,295,7,7,11,"00:14:06,428","00:14:07,762"
2944,"What are you still doin’ here?! I told you, lobster ravioli!",Joey,negative,295,21,7,11,"00:14:37,001","00:14:40,753"
2945,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",Ross,neutral,296,0,1,2,"00:14:38,085","00:14:41,546"
2961,C'mon in.,Barry,neutral,296,16,1,2,"0:15:46,279","0:15:48,348"
2965,"So, how ya doin?",Barry,neutral,296,20,1,2,"00:15:56,705","00:15:58,414"
2988,I’ve got five bucks says you can’t.,Chandler,neutral,299,3,3,5,"00:21:51,935","00:21:54,562"
3006,"Dr. Farber, we've got a bit of an emergency here...Jason Costalano is choking on his retainer.",Bernice,negative,301,1,1,20,"00:19:35,465","00:19:41,220"
3014,Did you see how he was sweating when he walked out of there?,Rachel,negative,301,9,1,20,"00:19:54,443","00:19:59,697"
3030,"No, I can spot you from here.",Phoebe,neutral,302,8,3,13,"00:17:26,962","00:17:29,505"
3033,I don’t have time for this.,Phoebe,negative,303,0,2,5,"00:11:10,795","00:11:12,921"
3038,"Oh, just this!  Y’know what it’s my fault really, because the couch is usually where we",Chandler,neutral,304,3,3,5,"00:11:21,430","00:11:37,529"
3044,He started mine first!,Chandler,negative,304,9,3,5,"00:11:49,792","00:11:51,626"
3049,"Uh, y'know what, we’re having second thoughts about our copying needs. And we’ll need a little more time to think about it.",Joey,neutral,305,3,3,15,"00:02:44,622","00:02:54,756"
3063,"Nothing like it in this lifetime, money in the bank, so Rachel and I broke up.",Ross,negative,306,2,3,17,"00:12:57,943","00:12:59,694"
3073,"No! Y’know,",Monica,neutral,307,3,4,17,"00:04:16,673","00:04:18,000"
3074,Is that why in junior high you were the only one that hung out with that Ukrainian kid?,Ross,neutral,307,4,4,17,"00:04:25,098","00:04:29,601"
3086,Why don’t we do a trial run.,Supervisor,neutral,308,2,7,13,"00:04:25,014","00:04:28,141"
3155,Remember that guy from cooking school I told you about that put cilantro with everything?,Monica,neutral,315,0,4,9,"00:01:38,056","00:01:41,308"
3158,"Wow, Monica! What an amazing opportunity to influence… dozens of people.",Monica,positive,315,3,4,9,"00:01:47,774","00:01:54,321"
3169,Hello.,Joey,neutral,316,3,4,8,"00:00:16,516","00:00:18,100"
3174,"What is the name of your roommate who is very, very sorry and would do anything",Voice,neutral,316,8,4,8,"00:00:35,869","00:00:41,874"
3187,I don’t accept this rule.,Phoebe,negative,317,12,7,11,"00:04:12,460","00:04:13,752"
3198,"So ah, there was this thing I wanted to talk to you about.",Pete,neutral,319,2,3,23,"00:17:43,145","00:17:46,564"
3204,There’s one thing missing.,Pete,negative,319,8,3,23,"00:18:14,676","00:18:16,385"
3218,My parents will be so happy.,Monica,negative,319,22,3,23,"00:19:13,402","00:19:15,653"
3228,"When you were talking about Roger, that was killing me!",Chandler,negative,320,8,6,16,"00:20:23,180","00:20:27,892"
3232,"Or with the other two women, in the morning y’know I was just lying there and I couldn’t wait to just go hang out with my friends, but with you I always y’know with a friend.",Chandler,neutral,320,11,6,16,"00:20:36,944","00:20:48,287"
3240,Welcome back!,Eric,positive,321,1,8,7,"0:16:34,301","0:16:36,092"
3253,Would you look at them. Am I ever gonna find a boyfriend again? I gonna die an old maid.,Monica,negative,323,0,3,25,"00:02:23,935","00:02:31,316"
3267,Now you know how you really feel about it.,Phoebe,neutral,326,3,8,1,"0:21:03,178","0:21:05,100"
3268,"Oh-oh, that’s a risky little game!",Rachel,negative,326,4,8,1,"0:21:05,100","0:21:08,064"
3271,With who?,Phoebe,neutral,326,7,8,1,"0:21:30,330","0:21:30,789"
3339,"Only the people in the white coats sit over there,  and only the people in the blue blazers sit here.",Tour Guide,neutral,333,4,4,11,"00:10:27,376","00:10:34,758"
3340,"Yeah, it must’ve fallen out a few blocks back. I just figured we hit a dog.",Joey,positive,334,0,4,7,"00:09:57,513","00:10:02,017"
3345,"Oh no it’s fine, don’t worry about it.",Kathy,neutral,334,5,4,7,"00:10:11,736","00:10:14,613"
3359,"....and 12, 22, 18, four...  What?",Ross,positive,336,0,3,10,"00:11:55,840","00:12:07,000"
3361,"Ross, but me down for another box of the mint treasures, okay. Where, where are the mint treasures?",Monica,neutral,336,2,3,10,"00:12:13,649","00:12:20,071"
3385,Yeah but you don’t need——What is this?,Chandler,positive,337,3,8,2,"00:03:02,348","00:03:11,106"
3392,"Oh-oh yeah, you-you came up to me and asked if I could do you a favor, and my Uncle Murray came up to you and handed you a check.",Ross,neutral,337,10,8,2,"00:03:25,246","00:03:31,001"
3430,"No! No, fear of the number 13.",Joey,neutral,342,2,8,20,"00:07:28,936","00:07:33,316"
3443,I’ll take a card.,Chandler,neutral,342,14,8,20,"00:08:09,644","00:08:13,272"
3452,Okay.,Joey,neutral,344,2,5,17,"0:02:17,554","0:02:19,218"
3468,"Oh honey, I'm so sorry, you were right, this feels great!",Rachel,positive,345,2,6,7,"00:19:09,857","00:19:12,400"
3475,"Yeah okay, I was just talking to the guys. Just look at them I mean, is it okay if they come visit?",Chandler,neutral,346,4,6,20,"00:09:12,301","00:09:17,722"
3497,Hey!,Phoebe,positive,349,1,9,19,"0:01:53,420","0:01:54,342"
3512,"Anyway, I should go, one of the lifeguards was just about to dismantle a nuclear device.",Chandler,neutral,350,4,3,6,"00:19:16,780","00:19:22,243"
3517,You got Rachel pregnant?!,Mona,negative,351,1,8,8,"00:11:35,903","00:11:38,863"
3537,Good!,Chandler,positive,352,5,1,15,"0:21:58,626","0:21:59,680"
3538,Whooooaaaa....,Chandler,positive,352,6,1,15,"00:22:02,612","00:22:04,113"
3553,How did this happen?,Rachel,neutral,354,12,2,3,"00:03:42,388","00:03:44,806"
3555,That's terrible.,Monica,negative,354,14,2,3,"00:03:50,563","00:03:52,064"
3556,I know. I was sweeping yesterday. It coulda been me.,Mr. Treeger,neutral,354,15,2,3,"00:03:52,523","00:04:00,197"
3559,"Oh, I'm sorry.",Monica,negative,355,0,1,5,"00:22:23,342","00:22:24,675"
3573,Nooo. I had a story all worked out but then Chandler sold me out.,Joey,negative,356,9,3,3,"00:01:40,558","00:01:47,022"
3579,I'm going into business people.,Monica,neutral,356,15,3,3,"0:02:04,124","0:02:05,546"
3581,"I needed a plan, a plan to get over my man.",Monica,negative,356,17,3,3,"00:02:08,211","00:02:10,879"
3583,Jam.,Monica,neutral,356,19,3,3,"0:02:12,257","0:02:14,159"
3585,It's way to hot.,Monica,negative,356,21,3,3,"0:02:17,679","0:02:18,148"
3586,This will just be my batch.,Joey,neutral,356,22,3,3,"00:02:25,395","00:02:27,396"
3591,Here you go Pheebs. Who else wants one of my special homemade brownies?,Rachel,neutral,358,0,3,8,"00:00:03,712","00:00:06,338"
3614,It was dreadful. I felt terrible about how I acted when you said those wonderful things.,Emily,negative,359,3,4,17,"00:14:38,711","00:14:44,632"
3622,"Yeah, I mean, it would be rude to them  for us to leave now.",Chandler,neutral,360,4,2,5,"00:17:46,940","00:17:49,776"
3626,Celebrities I’m allowed to sleep with.,Ross,neutral,361,2,3,5,"00:08:22,210","00:08:25,128"
3629,"All right, so who do you got it narrowed down to?",Chandler,neutral,361,5,3,5,"00:08:30,468","00:08:32,135"
3632,Susan Sarandon.,Ross,neutral,361,8,3,5,"00:08:41,145","00:08:42,854"
3645,"Actually, I think you’re ready to go to the delivery room.",Dr. Long,neutral,362,6,8,24,"00:05:02,957","00:05:05,960"
3653,May I see your boarding pass?,Flight Attendant,neutral,365,1,1,24,"00:12:03,389","00:12:04,848"
3664,"It's from Rachel. She said that she loved the present, and she will see you when you get back.",Flight Attendant,neutral,365,12,1,24,"00:12:35,129","00:12:39,007"
3677,"Oh, I don't know, a million?",Chandler,negative,366,9,1,5,"00:19:53,442","00:19:55,610"
3679,I'm fine.,Chandler,neutral,366,11,1,5,"0:20:03,285","0:20:04,047"
3687,You win.,Chandler,negative,367,0,6,6,"00:13:43,113","00:13:44,197"
3691,"Okay, now much have you won so far?",Chandler,neutral,367,4,6,6,"00:13:54,041","00:13:56,417"
3698,Really?,Joey,positive,367,11,6,6,"0:14:09,390","0:14:11,742"
3728,"In that, um, they don't.",Phoebe,negative,372,6,1,13,"00:19:24,121","00:19:26,956"
3729,Oh. They don't.,Roger,positive,372,7,1,13,"00:19:29,376","00:19:31,752"
3764,I did not mean to touch that—I mean,Rachel,negative,375,4,5,17,"00:18:01,080","00:18:04,665"
3768,Wow! Nice! Manly and also kind of a slut.,Phoebe,negative,376,3,7,22,"00:15:59,208","00:16:03,836"
3772,"Oh, uh does anyone know where the Freeman building is?",Ross,neutral,377,2,8,12,"00:05:51,684","00:05:55,187"
3780,No. And I don’t think I’m gonna want to.,Mark,negative,379,0,3,19,"00:14:57,688","00:15:00,315"
3781,I can’t do this.,Rachel,negative,379,1,3,19,"00:15:00,816","00:15:01,858"
3785,"I’m sorry, it’s not very fair to you.",Rachel,negative,379,5,3,19,"00:15:11,368","00:15:14,495"
3786,Ahh!,Mark,negative,379,6,3,19,"00:15:16,165","00:15:17,000"
3790,Really?,Mark,positive,379,10,3,19,"00:15:23,339","00:15:24,422"
3791,"No-no, I say-I say, I say we get back at him right on this couch.",Mark,neutral,380,0,6,10,"00:15:24,590","00:15:29,594"
3793,Oh God. I’m sorry about this.,Rachel,negative,380,2,6,10,"00:15:31,096","00:15:36,392"
3807,"When my sisters were pregnant they got every weird feeling in the book, it was always nothing.",Joey,neutral,383,5,8,14,"00:09:54,240","00:09:59,840"
3814,Here we go.,Joey,neutral,383,10,8,14,"00:10:11,000","00:10:12,280"
3820,"Well, maybe we will.  Oh!",Phoebe,positive,384,4,8,17,"00:10:22,830","00:10:27,626"
3828,"Oh, Ross you’re right, I don’t know why I always thought this was real grass.",Phoebe,negative,387,0,3,6,"00:21:17,859","00:21:21,988"
3843,That’s a little more than I wanted to see.,Monica,negative,388,9,3,5,"00:06:26,094","00:06:28,470"
3860,Pheebs...,Rachel,neutral,389,9,4,2,"0:12:38,424","0:12:39,026"
3884,"Liam, do me a favour. Tell the lads to go easy on Ross, it’s his first time.",Emily,neutral,393,2,4,15,"00:12:25,536","00:12:30,665"
3892,Come on! Admit it! That was the best nap you ever had!,Joey,negative,395,0,7,6,"00:08:53,704","00:08:56,952"
3900,Why not?,Joey,neutral,395,8,7,6,"00:09:21,644","00:09:24,354"
3915,"Oh, God, he's such a pig,",Rachel,negative,398,10,1,12,"0:15:41,044","0:15:42,306"
3917,He's like a big disgusting...,Rachel,negative,398,12,1,12,"0:15:42,650","0:15:44,922"
3920,"Yes, good! Ok...",Phoebe,negative,400,0,1,12,"00:15:46,403","00:15:48,738"
3924,The end.,Phoebe,neutral,400,4,1,12,"00:16:13,722","00:16:15,223"
3933,"Ah, oh, hang on a second.  Come in, come in.  All right, so think about it, and call me back.",Phoebe Sr,neutral,401,4,3,25,"00:05:15,815","00:05:20,068"
3940,"Phoebe.  Phoebe. Phoebe, yeah. She named me after you I guess.",Phoebe,negative,401,11,3,25,"00:05:44,469","00:05:49,097"
3941,"Uh-huh. Wow! Well, look! There’s Frank.",Phoebe Sr,positive,401,12,3,25,"00:05:49,265","00:05:52,976"
3950,"If you need money, will you please-please just let me loan you some money?",Chandler,neutral,404,5,6,12,"00:02:55,675","00:02:58,886"
3956,I know!,Joey,positive,404,11,6,12,"0:03:06,937","0:03:07,863"
3965,"Oh good, okay, I can't take it anymore.",Chandler,neutral,405,0,5,11,"0:21:38,964","0:21:42,066"
3968,Here!,Chandler,negative,405,3,5,11,"0:21:44,388","0:21:45,060"
3972,"Hey everybody, Pheebs is here!",Ross,positive,406,0,5,2,"00:15:41,273","00:15:43,608"
3980,Back on in 30 seconds people!,Stage Director,neutral,407,4,5,4,"00:14:03,717","00:14:06,052"
4004,"I'm just sayin', if I see one more picture of Ed Begley, Jr. in that",Carl,negative,410,0,1,24,"00:18:46,917","00:18:52,547"
4010,"I don't get it. What do you see in this guy, anyway?",Ross,negative,410,6,1,24,"00:19:21,827","00:19:24,954"
4013,"Rachel, come on. Give us a chance.",Ross,neutral,410,9,1,24,"00:19:35,090","00:19:38,593"
4019,"Ross, you're like my best friend.",Rachel,positive,410,15,1,24,"0:19:49,646","0:19:52,028"
4023,"Hello?  No she can’t come to the phone right now.  Oh, right no problem. Okay, bye-bye.",Ross,neutral,411,0,6,15,"00:19:45,100","00:19:50,688"
4032,"Looks good, uh?",Joey,negative,412,4,4,2,"0:04:25,848","0:04:26,620"
4041,"All right look, I’m changing it to 50 bucks, or your best offer.",Chandler,neutral,412,13,4,2,"00:04:55,712","00:05:00,757"
4067,Okay?,Joey,neutral,415,4,5,22,"0:06:39,195","0:06:39,577"
4094,No.,Cliff,neutral,418,14,8,23,"00:18:17,000","00:18:17,876"
4095,"Oh really? So, 33 and still single, would you say you have commitment issues?",Joey,positive,418,15,8,23,"00:18:18,085","00:18:24,758"
4097,Yes.,Joey,neutral,418,17,8,23,"00:18:29,263","00:18:30,806"
4112,Okay.,Joey,neutral,421,0,8,16,"0:13:02,406","0:13:06,288"
4132,"He's uh, he's in a whole other place.",Monica,neutral,423,2,1,23,"0:11:32,400","0:11:34,122"
4134,"No no, you don't have to fly back, really.",Monica,neutral,423,4,1,23,"00:11:37,113","00:11:40,281"
4146,"Yeah, this is someone else I meet, and I-I can’t decide between the two of them.",Ross,neutral,424,4,4,10,"00:09:17,348","00:09:21,935"
4168,"Listen, I’m sorry about that whole thing with Roger.",Phoebe,negative,426,1,8,11,"00:21:10,852","00:21:15,731"
4170,"Now, this is just a loan.",Phoebe,neutral,426,3,8,11,"0:21:31,790","0:21:33,083"
4190,"Oh, uh, I... don't... care.",Chandler,neutral,429,1,1,14,"00:03:21,000","00:03:23,452"
4218,"Yeah, all of us! All day!",Joey,positive,431,8,5,2,"00:14:49,680","00:14:51,264"
4227,"Y'know, I've been meaning to talk to you about this whole, little, new European thing you got going on, and I just need to tell you that it makes me very uncomfortable and I just—y'know—stop it!",Rachel,negative,431,16,5,2,"00:15:13,746","00:15:24,964"
4234,I’m guess I’m just done with the whole dating thing.,Rachel,negative,434,0,8,5,"00:19:32,129","00:19:35,256"
4237,Yeah I know.,Ross,neutral,434,3,8,5,"0:19:41,680","0:19:44,006"
4267,Hey! Check it out! This is unbelievable! Joey has been holding his breath for almost four minutes!,Phoebe,positive,437,1,8,19,"00:06:34,061","00:06:39,858"
4293,"Ok, so now we need, um sage branches and the sacramental wine.",Phoebe,neutral,440,0,1,14,"00:12:37,173","00:12:42,093"
4329,"Oh, hey, look, I found coffee!  Okay, let’s skedaddle.",Phoebe,neutral,443,4,3,17,"00:01:53,655","00:01:57,449"
4338,"Yeah, the Knicks by 10. They suck.",Guy,neutral,444,5,1,23,"00:13:47,409","00:13:50,954"
4345,Yeah?,Rachel,positive,445,5,8,8,"0:08:20,417","0:08:21,283"
4354,Stay calm?!!,Dr. Green,negative,445,13,8,8,"0:08:46,331","0:08:46,537"
4373,You’re our age!,Chandler,positive,446,10,3,19,"0:10:20,473","0:10:21,091"
4385,"So, we’re walking down the street and I turn to you and I say, “Hey, let’s go hang out at Totally Nude Nudes,” remember?",Joey,neutral,447,1,3,18,"00:09:10,174","00:09:16,930"
4390,I wash the toilet 17 times a day.,Rachel,negative,448,3,6,6,"0:10:17,491","0:10:19,160"
4429,"No, that was my way of telling you.",Phoebe,neutral,450,16,3,23,"00:14:39,128","00:14:41,045"
4441,I can't just walk away! I've put in four hours!,Monica,negative,451,4,9,23,"00:44:20,366","00:44:23,159"
4446,"Well, this is my sickness!",Monica,negative,451,7,9,23,"00:44:29,375","00:44:31,668"
4448,"Yeah, I mean I was up sick all night.",Rachel,neutral,452,1,8,12,"0:16:01,710","0:16:05,089"
4480,Some guy bought it. I’m sorry. I tired to stop it but they  put me in jail!,Phoebe,negative,456,4,6,23,"0:13:17,046","0:13:20,925"
4497,I had a bra.,Rachel,neutral,457,9,1,20,"00:07:16,602","00:07:18,645"
4532,You’re building a post office?,Chandler,negative,462,6,3,5,"00:00:28,111","00:00:30,571"
4533,"No, an entertainment unit, with a mail cubby built right in. It’s a one day job, max.",Joey,neutral,462,7,3,5,"00:00:31,489","00:00:42,041"
4537,Hi!,Rachel,positive,463,0,7,11,"00:04:57,297","00:04:58,297"
4564,All our love Monica and Chandler.,Rachel,neutral,464,13,7,14,"0:11:40,783","0:11:43,755"
4577,"Oh! ...Hello, dear.",Mr. Tribbiani,positive,465,5,1,13,"00:22:35,437","00:22:36,645"
4578,Man. Can you believe he's only had sex with one woman?,Joey,positive,466,0,1,4,"00:19:56,904","00:20:01,991"
4579,"I think it's great. Y'know, it's sweet, it's romantic...",Chandler,positive,466,1,1,4,"00:20:02,868","00:20:09,040"
4592,Hey! Hey! No rough holding in my ER!,Receptionist,negative,466,13,1,4,"00:21:09,017","00:21:10,977"
4601,Hi!,Monica,positive,468,3,8,20,"0:04:49,110","0:04:52,702"
4609,"Julie’s cervix is dilated a seven centimeters, that’s about four fingers. The doctor let me feel it myself.",Marc,positive,469,1,8,23,"00:06:14,445","00:06:24,205"
4617,Later.,Ross,neutral,471,6,8,23,"0:06:37,177","0:06:37,314"
4629,"Well first, for forgetting to throw you a bridal shower.",Rachel,negative,474,3,7,19,"00:19:10,440","00:19:14,318"
4634,"Yeah, we wanted to throw you a big surprise and a great shower, and now you don’t have either.",Rachel,negative,474,7,7,19,"00:19:28,750","00:19:35,173"
4640,"What do you, what do you mean?",Rachel,positive,474,13,7,19,"0:19:43,854","0:19:45,536"
4646,"I can't believe it's raining again! Oh, it's so unfair!!!",Monica,negative,475,0,9,23,"00:31:14,998","00:31:18,083"
4651,They have a game room downstairs! Ping pong and stuff.,Mike,neutral,475,5,9,23,"00:31:34,976","00:31:39,479"
4672,Ohh. What is this?,Phoebe,negative,476,9,3,20,"00:19:44,725","00:19:46,559"
4680,"So Ross, how umm, how did it go with Bonnie?",Phoebe,neutral,477,4,3,24,"00:14:20,067","00:14:23,194"
4687,"Pheebs, I think she’s great. Okay? We’re going out again.",Ross,positive,477,9,3,24,"00:14:42,548","00:14:45,800"
4695,"But, it’s gonna be okay, because as of tomorrow I’m conducting an experiment, and if all goes as planned, my butt will be smack free.",Chandler,neutral,477,17,3,24,"00:15:11,785","00:15:15,747"
4698,"Yeah! And also, a little like a French guy.  I never noticed that before.",Joey,positive,478,1,6,24,"00:19:29,877","00:19:39,135"
4706,Well that’s a little crazy. Although I am y’know glad to hear that you’re branching out on what you look at on the Internet.,Monica,neutral,478,8,6,24,"00:20:01,074","00:20:07,038"
4729,"Oh, it’s crazy about Rachel huh?",Tag,positive,480,4,8,2,"0:21:30,706","0:21:31,888"
4737,"You know, ever since I had that dream about him, and can't    get it out of my head!",Rachel,positive,481,2,9,20,"00:02:00,900","00:02:04,445"
4751,"Fire alarm?  Oh! Hi, officer—fireman, can-can I help you?",Phoebe,negative,482,1,7,12,"0:18:09,922","0:18:20,850"
4757,"Okay do you—Okay, do you have a search warrant? Because the last time I checked this was still America!",Phoebe,negative,482,7,7,12,"00:18:33,403","00:18:38,783"
4782,"""Heating device.""",Ross,neutral,483,11,1,20,"00:17:12,281","00:17:13,823"
4819,Yeah. He could row like a viking.,Ross,positive,489,1,1,3,"00:21:46,722","00:21:50,266"
4828,Are you're hands still wet?,Ross,neutral,492,1,1,22,"0:19:29,042","0:19:30,210"
4831,Oh my God! Oh my God!!,Rachel,negative,493,0,6,23,"00:09:36,325","00:09:38,785"
4849,"Yeah, we are definitely on Route 27.",Rachel,neutral,496,0,3,17,"00:13:34,438","00:13:37,440"
4850,"Okay.  We are at a rest stop on Route 27. Okay.  There is no Route 27.   Okay, either 93 or 76?",Phoebe,neutral,496,1,3,17,"00:13:37,650","00:13:45,365"
4856,"Ugh, okay, well somebody will come and save us.",Rachel,neutral,496,6,3,17,"00:14:03,843","00:14:05,677"
4859,"I think we should call Ross, maybe he can get a car and come pick us up.",Monica,neutral,496,9,3,17,"00:14:09,515","00:14:12,600"
4867,"I’m not wrong! I wish I was. I’m sorry. Bet that barium enema doesn’t sound so bad now, huh?",Joey,negative,497,2,3,8,"00:08:06,402","00:08:20,373"
4901,"Yeah, I’m sorry man.  You wanna go watch?",Chandler,neutral,500,0,6,11,"00:20:55,295","00:21:01,842"
4902,Yeah!,Joey,positive,500,1,6,11,"00:21:00,300","00:21:01,842"
4911,"And I never used to be able to just talk to girls in bars, but I got like 20 phone numbers last night.",Tag,positive,501,8,7,5,"00:11:59,927","00:12:07,225"
4931,Okay! Come on! Let's go! All right!,Chandler,positive,503,8,5,24,"0:12:13,483","0:12:14,011"
4960,Why don’t you…   Wh-what’s going on?,Ross,negative,505,6,7,2,"00:02:13,508","00:02:14,925"
4971,"Okay,  I can’t imagine, I can’t imagine my life without you.",Ross,negative,506,1,3,16,"00:20:47,579","00:20:50,581"
4973,"Your good heart Rach,  and, and....",Ross,negative,506,3,3,16,"00:20:59,883","00:21:02,009"
4992,Could tonight be the Night?,Rachel,positive,507,10,1,22,"00:05:57,148","00:05:59,941"
5011,"Y'know, that's-that's fine, but the line is, ""Hmm, soup.""",The Casting Director,neutral,508,11,5,18,"00:16:56,181","00:16:59,559"
5022,"No! No! I-I can do it one more time! See? Look!  Hmm, noodle soup. Damnit!",Joey,negative,508,22,5,18,"00:17:44,354","00:17:49,400"
5028,"Well then we’d be in a lot of trouble, you don’t know where any countries are.",Ross,neutral,509,5,8,23,"00:01:26,866","00:01:29,994"
5038,What-what?,Ross,negative,509,13,8,23,"0:01:55,645","0:01:57,407"
5041,"Yeah, it couldn’t hurt to look.",Rachel,neutral,509,16,8,23,"0:02:03,487","0:02:04,758"
5068,"No. Umm, okay. But while you dial, let me show you the features of my new ringing handbag.  Oh, it does work!",Phoebe,negative,512,13,7,15,"00:10:06,981","00:10:13,194"
5069,Phoebe!,Rachel,negative,512,14,7,15,"00:10:18,075","00:10:20,076"
5074,Fine.,Tag,negative,513,4,7,12,"00:13:24,178","00:13:26,054"
5087,"I know, he’s too charming, but if you two start going out, then it’s just gonna make it so much harder for me to hate him.",Monica,negative,515,3,3,11,"00:06:08,534","00:06:11,953"
5115,"You look at me, and nothin’.",Joey,neutral,518,5,3,19,"00:19:28,375","00:19:31,085"
5118,"Well, that was ah...",Kate,neutral,518,8,3,19,"00:20:01,283","00:20:03,618"
5124,"Don't worry, Chandler, it's not a globe of the United States.",Joey,neutral,520,0,7,8,"00:04:07,288","00:04:10,249"
5125,Hey you guys I'm gonna go out and take a walk.,Phoebe,neutral,520,1,7,8,"00:04:17,966","00:04:20,592"
5140,Oh.  It’s just so unexpected! I…I uh…Boy I’ll tell you it’s just such an honor to be nominated for a,Phoebe,positive,522,2,7,18,"00:21:05,806","00:21:17,817"
5146,"I mean, I couldn't not know, I mean, if, if the doctor knows, and Carol knows, and Susan knows....",Rachel,positive,523,1,1,12,"0:09:38,786","0:09:42,298"
5152,"I'm sorry, I'm just excited about being an aunt!",Monica,positive,523,7,1,12,"00:09:57,972","00:10:00,473"
5161,"Hey, Chandler, that table place closes at 7, come on.",Joey,neutral,523,16,1,12,"00:10:25,249","00:10:28,418"
5176,Yes.,Phoebe,neutral,524,7,3,10,"0:07:43,047","0:07:43,689"
5181,Well we have to make room for the fresh ones.,Joey,neutral,524,12,3,10,"0:07:59,437","0:08:01,329"
5195,"Hi! Hi, I’m Ross, you don’t know me, but I’m a big, big fan of yours. I mean,",Ross,positive,526,0,3,5,"00:19:49,396","00:19:56,944"
5224,We have one.,Monica,neutral,527,6,5,24,"0:08:20,500","0:08:21,682"
5237,"I think I can take care of myself, I’ll talk to you later.",Ross,neutral,529,4,6,14,"0:18:06,168","0:18:09,640"
5238,Good-bye.,Ross,neutral,529,5,6,14,"0:18:09,640","0:18:11,054"
5247,"Umm, okay, okay, look.",Phoebe,neutral,530,4,3,25,"00:19:09,565","00:19:12,358"
5249,"Okay, because I know that this is my Father.",Phoebe,negative,530,6,3,25,"0:19:14,548","0:19:16,708"
5284,For a walk.,Joey,neutral,532,1,9,12,"00:10:35,426","00:10:37,135"
5287,Your thoughts? Plural?,Chandler,positive,532,4,9,12,"00:10:46,103","00:10:48,355"
5297,Great novels?,Chandler,positive,532,14,9,12,"00:11:28,896","00:11:31,022"
5301,That’s kinda sad.,Tag,negative,533,2,7,9,"00:16:23,148","00:16:26,401"
5305,"Hello Rachel, you uh, got a minute?",Mr. Zelner,neutral,533,6,7,9,"00:16:37,496","00:16:39,706"
5308,"Okay. Uh, well can we, can we get you anything Mr. Zelner? Maybe some chocolates?",Rachel,neutral,533,9,7,9,"00:16:51,051","00:16:57,849"
5324,"Oh my God, they told us that was for the mascot!",Rachel,negative,536,7,4,2,"00:07:49,260","00:07:52,721"
5328,I never let her eat.,Monica,neutral,536,11,4,2,"00:08:07,904","00:08:09,654"
5347,"Oh, you like it? You wanna know where I got it?",Ross,positive,538,6,6,11,"00:09:01,582","00:09:08,213"
5358,"Oh, god help us.",Monica,negative,540,0,1,5,"00:04:30,937","00:04:38,193"
